emp_no,first_name,last_name,title,from_date,salary
11380,Kenroku,Pelc,53345,1991-04-19,53345
11441,Marlo,Aingworth,67352,1987-03-27,67352
11385,Shiv,Ullian,40000,1999-08-08,40000
11386,Alselm,Assaf,47726,1987-11-30,47726
11393,Junsik,Junot,40000,1985-04-30,40000
11398,Oscar,Peir,44625,1994-09-07,44625
11404,Bedrich,Borovoy,42907,1990-09-25,42907
11415,Sanjiv,Anido,40000,1996-12-07,40000
11421,Josyula,Msuda,52416,1986-09-02,52416
11449,Kotesh,Asser,61434,1995-02-03,61434
11567,Teiji,Mitzlaff,86261,1988-02-03,86261
11568,Martins,Fujisaki,54673,1992-03-13,54673
11459,Duke,Suomi,40000,1986-05-03,40000
11469,Guttorm,Giaccio,44625,1994-09-08,44625
11603,Herb,Swen,69180,1985-04-13,69180
11607,Tomokazu,Foong,49584,1995-04-19,49584
11615,Shem,Isaak,46591,1991-08-29,46591
11624,Adil,Gammage,42001,1989-07-15,42001
11628,Fan,Malinowski,43966,1988-10-23,43966
11628,Fan,Malinowski,43966,1995-04-23,43966
11506,Rance,Picel,89747,1996-04-08,89747
11640,Valeri,Coorg,52520,1988-09-26,52520
11647,Magy,Nitsche,40000,1988-05-11,40000
11660,Gill,Stenning,65758,1986-11-22,65758
11673,Henk,Felder,40000,1989-06-10,40000
11676,Valeri,Ferriere,43310,1998-07-15,43310
11681,Fumitake,Benzmuller,40000,1988-08-27,40000
11684,Oksana,Gide,68753,1986-02-21,68753
11509,Aleksander,Feldhoffer,40000,1987-11-12,40000
11513,Otmar,Mahnke,82525,1992-08-25,82525
11696,Dante,Rothe,51633,1985-10-23,51633
11515,Ulf,Basawa,70182,1998-09-21,70182
11518,Jinxi,Oxman,40000,1994-09-22,40000
11524,Xiadong,Standera,41081,1996-07-05,41081
11527,Alagu,Boyle,60212,1999-01-28,60212
11528,Zito,Dolinsky,44026,1987-06-15,44026
11537,DAIDA,Pehl,96023,1986-07-06,96023
11554,Subhash,Taubenfeld,46065,1999-02-21,46065
11732,Sanjoy,Ranft,40000,1996-12-22,40000
11732,Sanjoy,Ranft,40000,2002-07-12,40000
11735,Amalendu,Picci,40000,1988-07-14,40000
11554,Subhash,Taubenfeld,46065,1998-07-15,46065
11555,Kotesh,Perfilyeva,40000,1986-10-14,40000
11853,Zeljko,Kusakabe,61941,1988-11-17,61941
11746,Koichi,Marrakchi,55951,1988-11-17,55951
11751,Jiafu,Emiris,40000,1988-11-03,40000
11764,Sanjay,Anick,64875,1991-12-16,64875
11857,Divier,Farrag,94805,1986-08-27,94805
11769,Chandrasekaran,Lampe,40000,1999-04-18,40000
11769,Chandrasekaran,Lampe,40000,1993-10-22,40000
11772,Gaurav,Penz,61295,1999-11-07,61295
11864,Pradeep,Kriebel,52517,1995-11-02,52517
11871,Nalini,Sommen,67424,1993-10-13,67424
11797,Chenxi,Thambidurai,88050,1996-09-28,88050
11797,Chenxi,Thambidurai,88050,1988-08-30,88050
11810,Amabile,Bhattacharjee,41256,1992-01-05,41256
11817,Niranjan,Markovitch,50638,1986-04-12,50638
11872,Cheong,Riexinger,43159,1994-02-12,43159
11894,Mitchel,Validov,56198,1988-06-22,56198
11832,Arto,Zlotek,40000,1996-02-04,40000
11844,Shawna,Demeyer,78049,1988-01-27,78049
11897,Cordelia,Setlzner,80049,1988-06-16,80049
11906,Hideo,Boguraev,81324,1999-02-07,81324
11915,Miomir,Mawatari,58042,1992-06-28,58042
11993,Marit,Dalphin,56505,1996-10-22,56505
12011,Zhilian,Coorg,85833,1988-07-22,85833
11931,Gunilla,Chiodo,73369,1991-01-13,73369
12036,Mads,Ratzlaff,67143,1986-09-05,67143
12036,Mads,Ratzlaff,67143,1995-07-01,67143
12037,Arunas,Katzenelson,47805,1986-10-01,47805
12050,Yuchang,Tchuente,46704,1989-04-01,46704
11933,Basil,Erman,56130,1987-06-13,56130
12062,Margareta,Worfolk,44199,1996-01-04,44199
11949,Martijn,Harbusch,40000,1985-03-11,40000
12069,Ayonca,Burnard,51928,1985-05-13,51928
12070,Ger,Shokrollahi,50233,1988-11-14,50233
12076,Karlis,Siprelle,75381,1985-03-25,75381
12082,Xinan,Yamaashi,72118,1986-01-29,72118
12089,Bilhanan,Socorro,46288,1986-10-22,46288
11983,Jaana,Hedayat,40000,1986-10-11,40000
12099,Nobuyoshi,Kuzuoka,104610,1994-02-15,104610
12112,Satyanarayana,Avouris,76538,1989-09-26,76538
12122,Satoru,Krone,46398,1987-07-24,46398
12123,Xiahua,Syrzycki,64879,1987-07-18,64879
12125,Shounak,Erman,41215,1999-09-01,41215
12125,Shounak,Erman,41215,1997-03-31,41215
12308,Mototsugu,Cronau,58741,1985-08-11,58741
12149,Suebskul,Grandbois,109934,1988-10-01,109934
12159,Shem,Perly,61210,1985-07-17,61210
12165,Xiaobin,Maquelin,41951,1994-08-29,41951
12183,Harngdar,Iisaku,40000,1998-04-04,40000
12192,Feiyu,Klyachko,41625,1986-09-02,41625
12205,Sushant,Rossi,40000,1987-11-11,40000
12206,Barton,Janetzko,40000,1985-03-27,40000
12218,Yaghout,Strooper,40000,1991-03-12,40000
12221,Vincent,Melter,56736,1985-09-16,56736
12222,Abdelwaheb,Holburn,55840,1987-08-15,55840
12223,Niteen,Koyama,54459,1986-08-13,54459
12247,Subbu,Penttonen,59183,1985-04-09,59183
12249,Eldridge,Sadowski,70099,1987-06-21,70099
12256,Guadalupe,Reghbati,40000,1985-08-26,40000
12264,Mart,Pagter,51816,1998-01-09,51816
12270,Shakhar,Kornyak,52840,1989-08-19,52840
12272,Behnaam,Grandbois,43811,1987-12-08,43811
12308,Mototsugu,Cronau,58741,1996-09-20,58741
12311,Susanne,Lubachevsky,40000,1985-10-22,40000
12417,Dannz,Spelt,67342,1998-02-02,67342
12422,Berhard,Demos,71376,1993-06-07,71376
12327,DAIDA,Bruckman,67449,1986-10-16,67449
12454,Kerryn,Farris,41347,1998-12-18,41347
12464,Shai,Milicic,50448,1998-06-01,50448
12475,Filipe,Roison,40000,1987-04-26,40000
12341,Rasiah,Luga,40000,1985-05-25,40000
12487,Mona,Reghbati,40000,1998-12-11,40000
12487,Mona,Reghbati,40000,1998-12-07,40000
12343,Sorina,Slaats,52134,2000-09-03,52134
12343,Sorina,Slaats,52134,1988-08-25,52134
12489,Arnould,Munck,63306,1986-04-11,63306
12490,Jackson,Muchinsky,40000,1994-05-09,40000
12497,Stein,Penz,81191,1989-09-25,81191
12365,Kamakshi,Bisiani,40000,1988-09-12,40000
12501,Morrie,Matheson,76082,1986-06-05,76082
12504,Adly,Rosaz,40000,1997-08-14,40000
12514,Tomofumi,Melter,54241,1999-11-13,54241
12373,Mooi,Driscoll,75986,1993-11-11,75986
12528,Conor,Cincotta,40000,1988-09-24,40000
12534,Yongmao,Gerlach,66715,1985-08-14,66715
12541,Shih,Nanard,93105,1988-08-31,93105
12542,Kazuhide,Bouloucos,44176,1987-09-12,44176
12551,Jeane,Tzvieli,40000,1987-12-04,40000
12395,Sanjit,Felder,66909,1995-06-05,66909
12553,Aral,Vesna,40000,1987-02-28,40000
12557,Stafford,Kopetz,41840,1994-09-23,41840
12557,Stafford,Kopetz,41840,1988-03-20,41840
12399,Mihalis,Luga,85582,1987-12-07,85582
12411,Shao,Ibel,97610,1986-08-17,97610
12413,Hugh,Gadepally,53179,1994-03-04,53179
12709,Ronghao,Botman,45510,1995-02-26,45510
12589,Anoosh,Chleq,59441,1988-09-08,59441
12596,Breannda,Roisin,40000,1996-09-29,40000
12717,Tzu,Jiafu,53194,1999-10-20,53194
12601,Ghassan,Simkin,41714,1992-07-09,41714
12608,Nectarios,Mondadori,40000,1991-02-22,40000
12722,Elliott,Cheshire,62325,1985-03-29,62325
12726,Fumitake,Panwar,61177,1994-05-19,61177
12729,Nahla,Rahier,51796,1992-10-15,51796
12729,Nahla,Rahier,51796,2000-09-10,51796
12635,Xinyu,Restivo,40000,1995-02-03,40000
12635,Xinyu,Restivo,40000,1995-04-07,40000
12731,Yongmao,Waymire,40000,1988-04-05,40000
12732,Mara,Takanami,74436,1988-04-06,74436
12638,Yuqun,Seiwald,56677,1999-04-29,56677
12642,Suebskul,Gips,68271,1996-10-28,68271
12734,Gil,Frijda,40000,1986-03-03,40000
12755,Rildo,Rodite,40196,1987-03-18,40196
12651,Pragnesh,Bael,75150,1988-01-27,75150
12662,Leucio,Alvarado,69016,1985-08-27,69016
12663,Nobuyoshi,Stellhorn,49966,1986-09-29,49966
12664,Zhonghua,Parveen,40000,1999-08-04,40000
12664,Zhonghua,Parveen,40000,2001-03-12,40000
12773,Jenwei,Lovengreen,65556,1985-03-05,65556
12689,Luerbio,Boudaillier,59689,1992-11-23,59689
12691,Oddvar,Gils,48493,1992-08-25,48493
12697,Uri,Brizzi,40000,1986-07-11,40000
12790,Gunilla,Perl,87760,1995-08-08,87760
12848,Kazuhide,Smeets,40000,1997-05-11,40000
12863,Leif,Matheson,62803,1985-09-06,62803
12795,Masoud,Fordan,56969,1988-06-23,56969
12872,Marl,Schmittgen,56040,1986-09-09,56040
12798,Lillian,Beeson,81145,1987-12-27,81145
12879,Baruch,Eugenio,40000,1990-06-11,40000
12803,Gad,Boissier,91789,1999-08-30,91789
12803,Gad,Boissier,91789,1985-03-16,91789
12815,Sushant,Junot,65073,1985-02-27,65073
12890,Neven,Casley,66803,1985-10-31,66803
12893,Licheng,Crouzet,50803,1987-03-18,50803
12895,Roddy,Serot,40000,1993-08-15,40000
12819,Mountaz,Gubsky,48455,1989-09-09,48455
12905,Munehiro,Gecsei,58659,1987-07-19,58659
13030,Yahiko,Kroll,51770,1993-11-25,51770
12926,Heekeun,Luby,68314,1985-12-24,68314
12940,Odinaldo,Farrar,49760,1987-12-12,49760
12941,Tommaso,Perelgut,67069,1986-11-06,67069
12949,Geoff,Asrin,40000,1987-02-12,40000
12977,Byong,Markovitch,61326,1987-08-24,61326
12983,Elliott,Hambrick,57252,1999-06-28,57252
13133,Guther,Senzako,67777,1985-09-03,67777
13133,Guther,Senzako,67777,1991-06-13,67777
13046,Vivian,Stafford,40000,1987-04-19,40000
13134,Lorien,Chepyzhov,51227,1987-10-23,51227
13144,Persi,Nollmann,52825,1989-06-19,52825
13146,Haldon,Erie,61398,1985-05-25,61398
13147,Shichao,Ginesta,77429,1993-06-29,77429
13156,Akeel,Millington,48285,1992-08-18,48285
13047,Atilio,Chelton,52323,1992-02-26,52323
13165,Lucian,Benner,42796,1988-03-16,42796
13075,Rosella,Morrin,40000,1990-09-02,40000
13168,Munir,Stentiford,49210,1987-09-11,49210
13170,Cheong,Bernardeschi,49012,1993-01-09,49012
13170,Cheong,Bernardeschi,49012,1998-09-21,49012
13171,Anoosh,Birnbaum,40000,1987-08-31,40000
13173,Arve,Horswill,46354,1987-09-24,46354
13179,Moty,Janocha,90233,1999-02-19,90233
13182,Kokou,Rodite,46832,1999-03-03,46832
13186,Kyoichi,Barbanera,93138,1986-04-29,93138
13192,Rosita,Flowers,43986,2001-01-19,43986
13192,Rosita,Flowers,43986,1993-02-01,43986
13202,Aram,Scharstein,51915,1986-03-29,51915
13210,Jianhua,Klassen,83961,1997-08-10,83961
13210,Jianhua,Klassen,83961,1997-07-27,83961
13213,Hein,Billawala,61131,1988-08-30,61131
13075,Rosella,Morrin,40000,1986-08-17,40000
13076,Deniz,Skafidas,50582,1995-01-28,50582
13232,Mitchel,Fujisaki,40000,1986-06-02,40000
13233,Alselm,Chvatal,49414,1987-03-31,49414
13096,Ibibia,Armand,52544,1994-04-22,52544
13238,Ebru,Foote,40000,1993-10-10,40000
13240,King,Pileggi,49018,1994-03-10,49018
13250,Zeydy,Schusler,47829,1988-10-28,47829
13103,Srinidhi,Ellozy,40000,1988-06-19,40000
13124,Quingbo,Garnick,73785,1985-03-17,73785
13415,Nathalie,Speer,61838,1991-04-25,61838
13272,Arun,Jiang,40000,1985-03-10,40000
13276,Yechiam,Seuren,65836,1986-03-09,65836
13288,Muneo,Broomell,40000,1987-04-14,40000
13291,Georg,Stamatiou,54720,1986-10-30,54720
13302,Mack,Alencar,40000,1990-09-26,40000
13315,Sakthirel,Stroustrup,40000,1991-06-02,40000
13332,Nidapan,Pearson,40000,1987-09-24,40000
13333,Yoshinari,Hennebert,50997,1998-08-30,50997
13333,Yoshinari,Hennebert,50997,1988-03-23,50997
13341,Bodh,Doering,40000,1986-03-11,40000
13343,Heon,Usery,40000,1995-05-06,40000
13343,Heon,Usery,40000,1988-07-29,40000
13368,Kiyokazu,Klassen,52872,1997-09-30,52872
13371,Nakhoon,Riexinger,40000,1991-12-13,40000
13373,Juichirou,Naumovich,82749,1991-08-24,82749
13373,Juichirou,Naumovich,82749,1993-04-05,82749
13385,Claudi,Buchter,40000,1986-06-10,40000
13386,Khosrow,Sgarro,91420,1986-02-23,91420
13389,Divine,Cmelik,40000,1988-03-23,40000
13392,Fumitake,Beidas,69221,1988-08-26,69221
13396,Chuanyi,Aumann,40000,1994-03-29,40000
13402,Augustine,Dulli,40000,1999-09-12,40000
13402,Augustine,Dulli,40000,2002-02-26,40000
13405,Randy,Baba,60799,1990-05-10,60799
13407,Gio,Chenoweth,60348,1992-10-03,60348
13408,Sreekrishna,Lagarias,52479,1995-07-25,52479
13422,Vishwani,Gerlach,59466,1988-01-17,59466
13576,Jungsoon,Engberts,73022,1997-02-18,73022
13576,Jungsoon,Engberts,73022,1992-08-29,73022
13422,Vishwani,Gerlach,59466,1991-11-21,59466
13442,Giordano,Miake,40000,1987-06-16,40000
13605,Dmitry,Encarnacion,70404,1985-09-29,70404
13443,Mayuko,Puppo,40000,1990-12-26,40000
13621,Fei,Haddadi,73192,1987-02-09,73192
13624,Zhigen,Yurek,40000,1987-05-12,40000
13445,Renee,Dehkordi,53194,1996-11-29,53194
13629,Dzung,Trelles,40000,1987-01-03,40000
13451,Gretta,Weiland,40000,1986-08-23,40000
13457,Shooichi,Parfitt,40812,1986-01-18,40812
13648,Zejun,Lamba,47723,1985-11-16,47723
13653,Kristen,Iivonen,53242,1991-01-17,53242
13458,Feipei,Nivat,41375,1989-03-02,41375
13458,Feipei,Nivat,41375,2002-02-02,41375
13463,Theron,Berstel,40000,1988-01-26,40000
13670,Moti,Takanami,40000,1988-06-30,40000
13465,Sasan,Rehfuss,49821,1999-03-12,49821
13493,Uinam,Jullig,40000,1987-09-07,40000
13680,Denny,Speer,46968,1996-02-05,46968
13685,Weicheng,Hockney,48322,1991-11-29,48322
13504,Parto,Mandell,41895,1986-12-21,41895
13697,Shuichi,Weedon,40000,1985-06-20,40000
13524,Chaoyi,Porotnikoff,52849,1995-10-28,52849
13704,Vishu,Kumaresan,40000,1987-10-01,40000
13721,Sugwoo,Delgrossi,64754,1995-09-21,64754
13727,Vitali,Merey,50798,1999-10-07,50798
13535,Arunas,Schlenzig,40000,1986-05-19,40000
13738,Bangqing,Mitchem,48349,1998-06-30,48349
13546,Aimee,Brookner,50295,1988-10-26,50295
13549,Matk,Koprowski,40000,1997-06-18,40000
13766,Tremaine,Heemskerk,43748,1986-08-18,43748
13769,Yakichi,Trogemann,61025,1988-10-18,61025
13552,Ingmar,Capobianchi,73346,1985-03-23,73346
13775,Arve,Maierhofer,70161,1987-10-21,70161
13841,Christophe,Spinelli,52277,1992-02-01,52277
13786,Takushi,Berendt,74494,1989-05-19,74494
13787,Xiaobin,Sinicrope,40000,1990-10-30,40000
13792,Valery,Sury,59127,1985-07-27,59127
13796,Paloma,Thorelli,50962,1996-01-01,50962
13809,Kiyotoshi,Basagni,43735,1986-01-12,43735
13815,Guadalupe,Plotkin,40000,1985-09-09,40000
13841,Christophe,Spinelli,52277,1995-10-19,52277
13825,Arlette,Pell,54704,1986-08-02,54704
13842,Juichirou,Cichocki,40000,1991-04-21,40000
13846,Guiseppe,Welham,61097,1985-03-20,61097
13853,Mingsen,Roohalamini,61615,1991-03-25,61615
13859,Anoosh,Fujisawa,40000,1987-08-23,40000
13884,Kensei,Swift,44785,1998-12-21,44785
13990,Deborah,Schapiro,52723,1988-06-10,52723
13992,Ulises,Kenevan,81318,1988-07-27,81318
13999,Florian,Crouzet,40000,1995-02-25,40000
14005,Vojin,Stellhorn,40000,1996-10-04,40000
14005,Vojin,Stellhorn,40000,1985-05-10,40000
13894,Ult,Schonegge,48958,1987-11-28,48958
14015,Manibrata,Picaronny,63084,1997-08-15,63084
14015,Manibrata,Picaronny,63084,1998-08-25,63084
13904,Youngkon,Cairo,73885,1987-09-03,73885
13934,Shiv,Bratsberg,46507,1990-04-05,46507
14034,Aloys,Seghrouchni,69700,1985-08-26,69700
14041,Shan,DeMori,63235,1987-12-22,63235
14067,Godehard,Trachtenberg,44669,1994-02-14,44669
13942,Elzbieta,Esteva,40000,1997-10-13,40000
13951,Mooi,Genther,82054,1985-12-28,82054
14088,Mori,Leslie,44821,1987-11-10,44821
13960,Nechama,Hettesheimer,43204,1996-04-06,43204
14107,Xiahua,Rindone,82396,1991-12-15,82396
14111,Leszek,Cummings,52696,1992-09-25,52696
13962,Maris,Ghelli,67965,1994-10-26,67965
14118,Kasturi,Anido,46248,1985-04-06,46248
13966,Boguslaw,Cooman,40000,1990-12-26,40000
13969,Jianwen,Chandrasekhar,60392,1985-05-29,60392
14290,Miyeon,Olivero,78736,1992-03-29,78736
14167,Adas,Hertweck,40000,1985-12-01,40000
14292,Susanna,Vigier,41846,1988-02-19,41846
14298,Chriss,Granlund,40000,1996-01-07,40000
14191,Jiann,Luby,40155,1987-01-16,40155
14310,Marlo,Leuchs,40000,1987-02-23,40000
14320,Sreenivas,Schaar,40000,1986-06-30,40000
14209,Masanao,Kusakabe,40000,1988-04-06,40000
14322,Shem,Kakkad,50363,1999-11-19,50363
14220,Tomofumi,Pargas,68017,1987-12-02,68017
14323,Golgen,Leslie,40000,1997-10-22,40000
14323,Golgen,Leslie,40000,1997-08-05,40000
14340,Vitaly,Wixon,42858,1986-12-19,42858
14232,Masali,Bojadziev,50568,1994-09-10,50568
14236,Xuedong,Angiulli,40000,1988-11-07,40000
14237,Abdulla,Gerlach,57219,1986-06-13,57219
14237,Abdulla,Gerlach,57219,1998-03-22,57219
14344,Otilia,Buescher,41979,1988-12-16,41979
14242,Sudhanshu,Benaini,40000,1985-06-27,40000
14354,Mong,Bojadziev,40000,1985-08-28,40000
14257,Kwok,Massonet,40000,2000-07-13,40000
14257,Kwok,Massonet,40000,1998-02-04,40000
14360,Janche,Erbe,43476,1997-08-01,43476
14372,Saniya,Srimani,57667,1999-12-26,57667
14422,Toshimo,Gadepally,59001,1985-10-20,59001
14434,Elvis,Maginnis,40000,1989-09-21,40000
14439,Raimond,Woycyznski,80654,1986-11-01,80654
14460,Yagil,Lueh,56267,1988-01-23,56267
14478,Munehiro,Boissier,40000,1992-06-28,40000
14372,Saniya,Srimani,57667,2002-06-02,57667
14481,Moti,Lammel,40000,1987-08-25,40000
14483,Supot,Marrevee,40000,1986-01-30,40000
14384,Tomofumi,Holburn,58260,1988-02-13,58260
14486,Indrajit,Birdsall,40000,1994-08-12,40000
14498,Xiong,Selenyi,40000,1988-10-17,40000
14501,Taizo,Kroft,63646,1991-11-20,63646
14552,Ibibia,Snyers,40000,1994-06-13,40000
14509,Danil,Aloia,40000,1995-12-17,40000
14513,Samphel,Barreiro,83273,1991-02-04,83273
14513,Samphel,Barreiro,83273,1985-07-28,83273
14515,Kazuhisa,Versino,61645,1991-02-19,61645
