emp_no,first_name,last_name,title,from_date,salary,rn
11009,Alper,Axelband,Senior Staff,1986-09-09,75111,1
11012,Taegyun,Speckmann,Staff,2000-03-16,72092,1
11019,Leon,Huttel,Engineer,1992-05-24,69387,1
11021,Srinidhi,Henders,Staff,1998-02-02,62670,1
11027,Remzi,Cappello,Assistant Engineer,1986-05-07,40000,1
11031,Ottavia,Walstra,Staff,1985-10-24,71654,1
11037,Lansing,Maliniak,Engineer,1988-01-28,40000,1
11038,Jinya,Beidas,Senior Staff,1985-07-15,44993,1
11042,Gou,Breugel,Engineer,1993-06-21,40000,1
11048,Jaques,Demke,Senior Staff,1999-05-27,65697,1
11050,Elvis,Katiyar,Senior Staff,1986-05-06,52251,1
11051,Przemyslawa,Erol,Engineer,1991-03-27,40000,1
11070,Adib,Raney,Engineer,1985-07-24,40000,1
11081,Barry,Boyle,Senior Staff,1985-06-17,65686,1
11085,Hailing,Thummel,Senior Engineer,1996-02-10,66437,1
11100,Berna,Cochrane,Senior Staff,1986-10-13,40000,1
11106,Aris,Iwayama,Assistant Engineer,1985-08-31,71446,1
11112,Boaz,Mukaidono,Staff,1995-04-28,40000,1
11113,Shahab,Peng,Senior Staff,1985-11-30,66401,1
11121,Vugranam,Kakkad,Engineer,1992-10-31,40000,1
11133,Nalini,Azulay,Technique Leader,1994-03-06,40000,1
11134,Sachar,Rajcani,Engineer,1993-05-19,58731,1
11137,Hugh,Luca,Engineer,1995-03-16,40000,1
11139,Bogdan,Homond,Senior Staff,1990-05-11,63596,1
11146,Ishfaq,Masand,Senior Staff,1991-08-22,96019,1
11148,Zhanqiu,Botman,Senior Staff,1991-12-12,56344,1
11162,Kauko,Narlikar,Engineer,1985-03-28,69873,1
11180,Mitsuyuki,Bojadziev,Engineer,1986-06-11,40000,1
11197,Tadahiro,Fordan,Senior Staff,1989-09-12,88741,1
11204,Diederik,Covnot,Technique Leader,1985-09-18,40000,1
11207,Saeed,Gips,Engineer,1999-01-31,49728,1
11208,Saniya,Valtorta,Technique Leader,1994-11-17,83660,1
11211,Yurij,Rissland,Senior Engineer,1985-09-17,72668,1
11217,Kellie,Mawatari,Senior Engineer,1990-03-11,40000,1
11232,Hidefumi,Crelier,Senior Staff,1994-08-02,43863,1
11240,Kiam,Condotta,Assistant Engineer,1989-01-06,61739,1
11249,Randi,Cyre,Assistant Engineer,1986-09-22,43324,1
11251,Bezalel,Chinal,Senior Staff,1986-06-15,69432,1
11268,Aimee,Petersohn,Senior Engineer,1987-10-25,40000,1
11275,Hitomi,Eppinger,Engineer,1989-04-25,58382,1
11290,Visit,Dredge,Engineer,1999-05-13,65034,1
11295,Abdelkader,Lanzelotte,Senior Staff,1985-05-15,66622,1
11319,Pranas,Marrakchi,Assistant Engineer,1998-11-01,40000,1
11320,Atilio,McAlpine,Senior Staff,1990-04-06,45118,1
11322,Nathalie,Pocchiola,Assistant Engineer,1985-07-07,43021,1
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,54288,1
11338,Kwangsub,Hanratty,Senior Staff,1998-10-28,82210,1
11339,Flemming,Massonet,Senior Engineer,1989-12-19,40000,1
11347,Anneli,Jonsson,Engineer,1986-04-20,41524,1
11365,Toshimi,Shinomoto,Engineer,1997-12-18,56463,1
11376,Valery,Suomi,Senior Staff,1986-03-14,46964,1
11380,Kenroku,Pelc,Assistant Engineer,1991-04-19,53345,1
11385,Shiv,Ullian,Engineer,1999-08-08,40000,1
11386,Alselm,Assaf,Engineer,1987-11-30,47726,1
11393,Junsik,Junot,Engineer,1985-04-30,40000,1
11398,Oscar,Peir,Senior Staff,1994-09-07,44625,1
11404,Bedrich,Borovoy,Technique Leader,1990-09-25,42907,1
11415,Sanjiv,Anido,Engineer,1996-12-07,40000,1
11421,Josyula,Msuda,Engineer,1986-09-02,52416,1
11441,Marlo,Aingworth,Senior Staff,1987-03-27,67352,1
11449,Kotesh,Asser,Engineer,1995-02-03,61434,1
11459,Duke,Suomi,Senior Staff,1986-05-03,40000,1
11469,Guttorm,Giaccio,Engineer,1994-09-08,44625,1
11506,Rance,Picel,Staff,1996-04-08,89747,1
11509,Aleksander,Feldhoffer,Engineer,1987-11-12,40000,1
11513,Otmar,Mahnke,Senior Staff,1992-08-25,82525,1
11515,Ulf,Basawa,Staff,1998-09-21,70182,1
11518,Jinxi,Oxman,Senior Staff,1994-09-22,40000,1
11524,Xiadong,Standera,Senior Engineer,1996-07-05,41081,1
11527,Alagu,Boyle,Staff,1999-01-28,60212,1
11528,Zito,Dolinsky,Technique Leader,1987-06-15,44026,1
11537,DAIDA,Pehl,Senior Staff,1986-07-06,96023,1
11554,Subhash,Taubenfeld,Staff,1999-02-21,46065,1
11555,Kotesh,Perfilyeva,Senior Staff,1986-10-14,40000,1
11567,Teiji,Mitzlaff,Senior Staff,1988-02-03,86261,1
11568,Martins,Fujisaki,Engineer,1992-03-13,54673,1
11603,Herb,Swen,Staff,1985-04-13,69180,1
11607,Tomokazu,Foong,Engineer,1995-04-19,49584,1
11615,Shem,Isaak,Staff,1991-08-29,46591,1
11624,Adil,Gammage,Engineer,1989-07-15,42001,1
11628,Fan,Malinowski,Engineer,1995-04-23,43966,1
11640,Valeri,Coorg,Senior Engineer,1988-09-26,52520,1
11647,Magy,Nitsche,Engineer,1988-05-11,40000,1
11660,Gill,Stenning,Senior Staff,1986-11-22,65758,1
11673,Henk,Felder,Technique Leader,1989-06-10,40000,1
11676,Valeri,Ferriere,Engineer,1998-07-15,43310,1
11681,Fumitake,Benzmuller,Senior Engineer,1988-08-27,40000,1
11684,Oksana,Gide,Senior Staff,1986-02-21,68753,1
11696,Dante,Rothe,Senior Staff,1985-10-23,51633,1
11732,Sanjoy,Ranft,Senior Engineer,2002-07-12,40000,1
11735,Amalendu,Picci,Staff,1988-07-14,40000,1
11746,Koichi,Marrakchi,Senior Staff,1988-11-17,55951,1
11751,Jiafu,Emiris,Senior Staff,1988-11-03,40000,1
11764,Sanjay,Anick,Engineer,1991-12-16,64875,1
11769,Chandrasekaran,Lampe,Staff,1999-04-18,40000,1
11772,Gaurav,Penz,Engineer,1999-11-07,61295,1
11797,Chenxi,Thambidurai,Senior Staff,1996-09-28,88050,1
11810,Amabile,Bhattacharjee,Senior Engineer,1992-01-05,41256,1
11817,Niranjan,Markovitch,Senior Staff,1986-04-12,50638,1
11832,Arto,Zlotek,Engineer,1996-02-04,40000,1
11844,Shawna,Demeyer,Engineer,1988-01-27,78049,1
11853,Zeljko,Kusakabe,Senior Staff,1988-11-17,61941,1
11857,Divier,Farrag,Senior Staff,1986-08-27,94805,1
11864,Pradeep,Kriebel,Staff,1995-11-02,52517,1
11871,Nalini,Sommen,Engineer,1993-10-13,67424,1
11872,Cheong,Riexinger,Staff,1994-02-12,43159,1
11894,Mitchel,Validov,Senior Engineer,1988-06-22,56198,1
11897,Cordelia,Setlzner,Senior Staff,1988-06-16,80049,1
11906,Hideo,Boguraev,Engineer,1999-02-07,81324,1
11915,Miomir,Mawatari,Engineer,1992-06-28,58042,1
11931,Gunilla,Chiodo,Senior Staff,1991-01-13,73369,1
11933,Basil,Erman,Senior Engineer,1987-06-13,56130,1
11949,Martijn,Harbusch,Technique Leader,1985-03-11,40000,1
11983,Jaana,Hedayat,Engineer,1986-10-11,40000,1
11993,Marit,Dalphin,Senior Staff,1996-10-22,56505,1
12011,Zhilian,Coorg,Senior Staff,1988-07-22,85833,1
12036,Mads,Ratzlaff,Senior Staff,1995-07-01,67143,1
12037,Arunas,Katzenelson,Senior Staff,1986-10-01,47805,1
12050,Yuchang,Tchuente,Assistant Engineer,1989-04-01,46704,1
12062,Margareta,Worfolk,Senior Staff,1996-01-04,44199,1
12069,Ayonca,Burnard,Assistant Engineer,1985-05-13,51928,1
12070,Ger,Shokrollahi,Technique Leader,1988-11-14,50233,1
12076,Karlis,Siprelle,Senior Staff,1985-03-25,75381,1
12082,Xinan,Yamaashi,Senior Staff,1986-01-29,72118,1
12089,Bilhanan,Socorro,Senior Staff,1986-10-22,46288,1
12099,Nobuyoshi,Kuzuoka,Senior Staff,1994-02-15,104610,1
12112,Satyanarayana,Avouris,Senior Staff,1989-09-26,76538,1
12122,Satoru,Krone,Engineer,1987-07-24,46398,1
12123,Xiahua,Syrzycki,Staff,1987-07-18,64879,1
12125,Shounak,Erman,Engineer,1999-09-01,41215,1
12149,Suebskul,Grandbois,Senior Staff,1988-10-01,109934,1
12159,Shem,Perly,Senior Engineer,1985-07-17,61210,1
12165,Xiaobin,Maquelin,Senior Engineer,1994-08-29,41951,1
12183,Harngdar,Iisaku,Engineer,1998-04-04,40000,1
12192,Feiyu,Klyachko,Senior Engineer,1986-09-02,41625,1
12205,Sushant,Rossi,Senior Engineer,1987-11-11,40000,1
12206,Barton,Janetzko,Assistant Engineer,1985-03-27,40000,1
12218,Yaghout,Strooper,Engineer,1991-03-12,40000,1
12221,Vincent,Melter,Engineer,1985-09-16,56736,1
12222,Abdelwaheb,Holburn,Senior Staff,1987-08-15,55840,1
12223,Niteen,Koyama,Engineer,1986-08-13,54459,1
12247,Subbu,Penttonen,Technique Leader,1985-04-09,59183,1
12249,Eldridge,Sadowski,Engineer,1987-06-21,70099,1
12256,Guadalupe,Reghbati,Senior Staff,1985-08-26,40000,1
12264,Mart,Pagter,Engineer,1998-01-09,51816,1
12270,Shakhar,Kornyak,Senior Staff,1989-08-19,52840,1
12272,Behnaam,Grandbois,Staff,1987-12-08,43811,1
12308,Mototsugu,Cronau,Staff,1996-09-20,58741,1
12311,Susanne,Lubachevsky,Senior Engineer,1985-10-22,40000,1
12327,DAIDA,Bruckman,Engineer,1986-10-16,67449,1
12341,Rasiah,Luga,Senior Engineer,1985-05-25,40000,1
12343,Sorina,Slaats,Staff,2000-09-03,52134,1
12365,Kamakshi,Bisiani,Engineer,1988-09-12,40000,1
12373,Mooi,Driscoll,Senior Staff,1993-11-11,75986,1
12395,Sanjit,Felder,Senior Staff,1995-06-05,66909,1
12399,Mihalis,Luga,Senior Staff,1987-12-07,85582,1
12411,Shao,Ibel,Senior Staff,1986-08-17,97610,1
12413,Hugh,Gadepally,Engineer,1994-03-04,53179,1
12417,Dannz,Spelt,Senior Engineer,1998-02-02,67342,1
12422,Berhard,Demos,Staff,1993-06-07,71376,1
12454,Kerryn,Farris,Staff,1998-12-18,41347,1
12464,Shai,Milicic,Staff,1998-06-01,50448,1
12475,Filipe,Roison,Senior Engineer,1987-04-26,40000,1
12487,Mona,Reghbati,Senior Staff,1998-12-11,40000,1
12489,Arnould,Munck,Senior Engineer,1986-04-11,63306,1
12490,Jackson,Muchinsky,Senior Engineer,1994-05-09,40000,1
12497,Stein,Penz,Senior Staff,1989-09-25,81191,1
12501,Morrie,Matheson,Senior Staff,1986-06-05,76082,1
12504,Adly,Rosaz,Engineer,1997-08-14,40000,1
12514,Tomofumi,Melter,Engineer,1999-11-13,54241,1
12528,Conor,Cincotta,Senior Staff,1988-09-24,40000,1
12534,Yongmao,Gerlach,Senior Engineer,1985-08-14,66715,1
12541,Shih,Nanard,Staff,1988-08-31,93105,1
12542,Kazuhide,Bouloucos,Senior Staff,1987-09-12,44176,1
12551,Jeane,Tzvieli,Engineer,1987-12-04,40000,1
12553,Aral,Vesna,Senior Staff,1987-02-28,40000,1
12557,Stafford,Kopetz,Senior Engineer,1994-09-23,41840,1
12589,Anoosh,Chleq,Engineer,1988-09-08,59441,1
12596,Breannda,Roisin,Senior Staff,1996-09-29,40000,1
12601,Ghassan,Simkin,Engineer,1992-07-09,41714,1
12608,Nectarios,Mondadori,Staff,1991-02-22,40000,1
12635,Xinyu,Restivo,Engineer,1995-04-07,40000,1
12638,Yuqun,Seiwald,Engineer,1999-04-29,56677,1
12642,Suebskul,Gips,Senior Staff,1996-10-28,68271,1
12651,Pragnesh,Bael,Senior Staff,1988-01-27,75150,1
12662,Leucio,Alvarado,Assistant Engineer,1985-08-27,69016,1
12663,Nobuyoshi,Stellhorn,Technique Leader,1986-09-29,49966,1
12664,Zhonghua,Parveen,Staff,2001-03-12,40000,1
12689,Luerbio,Boudaillier,Engineer,1992-11-23,59689,1
12691,Oddvar,Gils,Engineer,1992-08-25,48493,1
12697,Uri,Brizzi,Senior Staff,1986-07-11,40000,1
12709,Ronghao,Botman,Engineer,1995-02-26,45510,1
12717,Tzu,Jiafu,Staff,1999-10-20,53194,1
12722,Elliott,Cheshire,Senior Staff,1985-03-29,62325,1
12726,Fumitake,Panwar,Senior Engineer,1994-05-19,61177,1
12729,Nahla,Rahier,Engineer,2000-09-10,51796,1
12731,Yongmao,Waymire,Senior Staff,1988-04-05,40000,1
12732,Mara,Takanami,Senior Staff,1988-04-06,74436,1
12734,Gil,Frijda,Senior Engineer,1986-03-03,40000,1
12755,Rildo,Rodite,Senior Staff,1987-03-18,40196,1
12773,Jenwei,Lovengreen,Engineer,1985-03-05,65556,1
12790,Gunilla,Perl,Senior Staff,1995-08-08,87760,1
12795,Masoud,Fordan,Senior Staff,1988-06-23,56969,1
12798,Lillian,Beeson,Senior Staff,1987-12-27,81145,1
12803,Gad,Boissier,Staff,1999-08-30,91789,1
12815,Sushant,Junot,Senior Staff,1985-02-27,65073,1
12819,Mountaz,Gubsky,Engineer,1989-09-09,48455,1
12848,Kazuhide,Smeets,Engineer,1997-05-11,40000,1
12863,Leif,Matheson,Engineer,1985-09-06,62803,1
12872,Marl,Schmittgen,Senior Staff,1986-09-09,56040,1
12879,Baruch,Eugenio,Engineer,1990-06-11,40000,1
12890,Neven,Casley,Senior Staff,1985-10-31,66803,1
12893,Licheng,Crouzet,Senior Staff,1987-03-18,50803,1
12895,Roddy,Serot,Senior Engineer,1993-08-15,40000,1
12905,Munehiro,Gecsei,Engineer,1987-07-19,58659,1
12926,Heekeun,Luby,Senior Staff,1985-12-24,68314,1
12940,Odinaldo,Farrar,Senior Engineer,1987-12-12,49760,1
12941,Tommaso,Perelgut,Engineer,1986-11-06,67069,1
12949,Geoff,Asrin,Engineer,1987-02-12,40000,1
12977,Byong,Markovitch,Engineer,1987-08-24,61326,1
12983,Elliott,Hambrick,Staff,1999-06-28,57252,1
13030,Yahiko,Kroll,Senior Staff,1993-11-25,51770,1
13046,Vivian,Stafford,Senior Staff,1987-04-19,40000,1
13047,Atilio,Chelton,Engineer,1992-02-26,52323,1
13075,Rosella,Morrin,Staff,1990-09-02,40000,1
13076,Deniz,Skafidas,Engineer,1995-01-28,50582,1
13096,Ibibia,Armand,Engineer,1994-04-22,52544,1
13103,Srinidhi,Ellozy,Senior Engineer,1988-06-19,40000,1
13124,Quingbo,Garnick,Senior Staff,1985-03-17,73785,1
13133,Guther,Senzako,Senior Staff,1991-06-13,67777,1
13134,Lorien,Chepyzhov,Engineer,1987-10-23,51227,1
13144,Persi,Nollmann,Senior Staff,1989-06-19,52825,1
13146,Haldon,Erie,Senior Staff,1985-05-25,61398,1
13147,Shichao,Ginesta,Senior Staff,1993-06-29,77429,1
13156,Akeel,Millington,Engineer,1992-08-18,48285,1
13165,Lucian,Benner,Senior Engineer,1988-03-16,42796,1
13168,Munir,Stentiford,Senior Engineer,1987-09-11,49210,1
13170,Cheong,Bernardeschi,Staff,1998-09-21,49012,1
13171,Anoosh,Birnbaum,Engineer,1987-08-31,40000,1
13173,Arve,Horswill,Senior Staff,1987-09-24,46354,1
13179,Moty,Janocha,Staff,1999-02-19,90233,1
13182,Kokou,Rodite,Engineer,1999-03-03,46832,1
13186,Kyoichi,Barbanera,Senior Staff,1986-04-29,93138,1
13192,Rosita,Flowers,Technique Leader,2001-01-19,43986,1
13202,Aram,Scharstein,Senior Staff,1986-03-29,51915,1
13210,Jianhua,Klassen,Staff,1997-08-10,83961,1
13213,Hein,Billawala,Senior Staff,1988-08-30,61131,1
13232,Mitchel,Fujisaki,Technique Leader,1986-06-02,40000,1
13233,Alselm,Chvatal,Engineer,1987-03-31,49414,1
13238,Ebru,Foote,Senior Staff,1993-10-10,40000,1
13240,King,Pileggi,Engineer,1994-03-10,49018,1
13250,Zeydy,Schusler,Assistant Engineer,1988-10-28,47829,1
13272,Arun,Jiang,Senior Staff,1985-03-10,40000,1
13276,Yechiam,Seuren,Senior Staff,1986-03-09,65836,1
13288,Muneo,Broomell,Staff,1987-04-14,40000,1
13291,Georg,Stamatiou,Engineer,1986-10-30,54720,1
13302,Mack,Alencar,Engineer,1990-09-26,40000,1
13315,Sakthirel,Stroustrup,Senior Engineer,1991-06-02,40000,1
13332,Nidapan,Pearson,Assistant Engineer,1987-09-24,40000,1
13333,Yoshinari,Hennebert,Engineer,1998-08-30,50997,1
13341,Bodh,Doering,Senior Staff,1986-03-11,40000,1
13343,Heon,Usery,Senior Staff,1995-05-06,40000,1
13368,Kiyokazu,Klassen,Staff,1997-09-30,52872,1
13371,Nakhoon,Riexinger,Senior Engineer,1991-12-13,40000,1
13373,Juichirou,Naumovich,Staff,1993-04-05,82749,1
13385,Claudi,Buchter,Senior Staff,1986-06-10,40000,1
13386,Khosrow,Sgarro,Technique Leader,1986-02-23,91420,1
13389,Divine,Cmelik,Senior Staff,1988-03-23,40000,1
13392,Fumitake,Beidas,Staff,1988-08-26,69221,1
13396,Chuanyi,Aumann,Senior Staff,1994-03-29,40000,1
13402,Augustine,Dulli,Engineer,2002-02-26,40000,1
13405,Randy,Baba,Senior Staff,1990-05-10,60799,1
13407,Gio,Chenoweth,Engineer,1992-10-03,60348,1
13408,Sreekrishna,Lagarias,Engineer,1995-07-25,52479,1
13415,Nathalie,Speer,Technique Leader,1991-04-25,61838,1
13422,Vishwani,Gerlach,Engineer,1991-11-21,59466,1
13442,Giordano,Miake,Senior Staff,1987-06-16,40000,1
13443,Mayuko,Puppo,Engineer,1990-12-26,40000,1
13445,Renee,Dehkordi,Engineer,1996-11-29,53194,1
13451,Gretta,Weiland,Senior Staff,1986-08-23,40000,1
13457,Shooichi,Parfitt,Senior Engineer,1986-01-18,40812,1
13458,Feipei,Nivat,Senior Engineer,2002-02-02,41375,1
13463,Theron,Berstel,Engineer,1988-01-26,40000,1
13465,Sasan,Rehfuss,Engineer,1999-03-12,49821,1
13493,Uinam,Jullig,Engineer,1987-09-07,40000,1
13504,Parto,Mandell,Assistant Engineer,1986-12-21,41895,1
13524,Chaoyi,Porotnikoff,Senior Staff,1995-10-28,52849,1
13535,Arunas,Schlenzig,Assistant Engineer,1986-05-19,40000,1
13546,Aimee,Brookner,Engineer,1988-10-26,50295,1
13549,Matk,Koprowski,Technique Leader,1997-06-18,40000,1
13552,Ingmar,Capobianchi,Senior Staff,1985-03-23,73346,1
13576,Jungsoon,Engberts,Staff,1997-02-18,73022,1
13605,Dmitry,Encarnacion,Senior Staff,1985-09-29,70404,1
13621,Fei,Haddadi,Assistant Engineer,1987-02-09,73192,1
13624,Zhigen,Yurek,Senior Staff,1987-05-12,40000,1
13629,Dzung,Trelles,Engineer,1987-01-03,40000,1
13648,Zejun,Lamba,Technique Leader,1985-11-16,47723,1
13653,Kristen,Iivonen,Senior Staff,1991-01-17,53242,1
13670,Moti,Takanami,Senior Engineer,1988-06-30,40000,1
13680,Denny,Speer,Staff,1996-02-05,46968,1
13685,Weicheng,Hockney,Engineer,1991-11-29,48322,1
13697,Shuichi,Weedon,Technique Leader,1985-06-20,40000,1
13704,Vishu,Kumaresan,Engineer,1987-10-01,40000,1
13721,Sugwoo,Delgrossi,Senior Staff,1995-09-21,64754,1
13727,Vitali,Merey,Staff,1999-10-07,50798,1
13738,Bangqing,Mitchem,Engineer,1998-06-30,48349,1
13766,Tremaine,Heemskerk,Senior Staff,1986-08-18,43748,1
13769,Yakichi,Trogemann,Senior Staff,1988-10-18,61025,1
13775,Arve,Maierhofer,Senior Staff,1987-10-21,70161,1
13786,Takushi,Berendt,Senior Staff,1989-05-19,74494,1
13787,Xiaobin,Sinicrope,Engineer,1990-10-30,40000,1
13792,Valery,Sury,Senior Staff,1985-07-27,59127,1
13796,Paloma,Thorelli,Engineer,1996-01-01,50962,1
13809,Kiyotoshi,Basagni,Senior Staff,1986-01-12,43735,1
13815,Guadalupe,Plotkin,Engineer,1985-09-09,40000,1
13825,Arlette,Pell,Technique Leader,1986-08-02,54704,1
13841,Christophe,Spinelli,Technique Leader,1995-10-19,52277,1
13842,Juichirou,Cichocki,Senior Staff,1991-04-21,40000,1
13846,Guiseppe,Welham,Senior Staff,1985-03-20,61097,1
13853,Mingsen,Roohalamini,Senior Staff,1991-03-25,61615,1
13859,Anoosh,Fujisawa,Engineer,1987-08-23,40000,1
13884,Kensei,Swift,Engineer,1998-12-21,44785,1
13894,Ult,Schonegge,Assistant Engineer,1987-11-28,48958,1
13904,Youngkon,Cairo,Senior Engineer,1987-09-03,73885,1
13934,Shiv,Bratsberg,Senior Engineer,1990-04-05,46507,1
13942,Elzbieta,Esteva,Technique Leader,1997-10-13,40000,1
13951,Mooi,Genther,Senior Staff,1985-12-28,82054,1
13960,Nechama,Hettesheimer,Senior Staff,1996-04-06,43204,1
13962,Maris,Ghelli,Senior Engineer,1994-10-26,67965,1
13966,Boguslaw,Cooman,Senior Staff,1990-12-26,40000,1
13969,Jianwen,Chandrasekhar,Technique Leader,1985-05-29,60392,1
13990,Deborah,Schapiro,Assistant Engineer,1988-06-10,52723,1
13992,Ulises,Kenevan,Senior Staff,1988-07-27,81318,1
13999,Florian,Crouzet,Senior Staff,1995-02-25,40000,1
14005,Vojin,Stellhorn,Technique Leader,1996-10-04,40000,1
14015,Manibrata,Picaronny,Senior Engineer,1998-08-25,63084,1
14034,Aloys,Seghrouchni,Senior Staff,1985-08-26,69700,1
14041,Shan,DeMori,Senior Staff,1987-12-22,63235,1
